"","X","FID","ct2010","boro_code","cdeligibil","boro_name","ntacode","boro_ct201","shape_area","ctlabel","puma","ntaname","JOIN_FIELD","TRACT_ID","TOTAL_POP","PPL_POV","POV_RATE","FAM_P_RATE","UNEMP_RATE","EMPLOYED","MED_INCOME","TRACT_AREA","CRASH_AREA","CRASH_POP","NUM_CRASH","NUM_DEVS","NUM_UNITS","PERC_CAR","PERC_PUB","PERC_BIKE","PERC_WALK","POP_PH","BIKE_LANES","DIS_2_BIKE","DIS_2_CP","LANE_AREA","Z_TOTAL_POP","Z_PPL_POV","Z_POV_RATE","Z_FAM_P_RATE","Z_UNEMP_RATE","Z_EMPLOYED","Z_MED_INCOME","Z_NUM_DEVS","Z_NUM_UNITS","Z_PERC_CAR","Z_PERC_PUB","Z_PERC_BIKE","Z_PERC_WALK","Z_POP_PH","Z_BIKE_LANES","Z_DIS_2_BIKE","Z_DIS_2_CP","Z_LANE_AREA","POP_DENS","Z_POP_DENS","NUM_BIKERS"
"1",1,0,900,5,"I","Staten Island","SI22",5000900,2497009.69813,9,3903,"West New Brighton-New Brighton-St. George",36085000900,36085000900,1962,254,12.8999996185,11.6999998093,9.1999998093,57.0999984741,60352,0.0895682567,44.6586787448,0.002038736,4,0,0,26.9801980198,62.6237623762,0,5.6930693069,0,0,0.3111845358,11.4723983092,0,-0.850467946794994,-0.703813096890973,-0.263418881836194,-0.384913169664498,-0.247305074957347,0.18434221679957,0.277486930060741,-0.363296595291551,-0.262768299613823,-0.314683396471339,0.517478049693874,-0.485843769850008,-0.175962261467618,-0.226507784551325,-0.592188385171217,0.0554909676792814,0.715938240962756,-0.719393744757023,21905.0819150307,-0.804029264764959,0
"2",2,1,12500,5,"I","Staten Island","SI22",5012500,4954936.20677,125,3903,"West New Brighton-New Brighton-St. George",36085012500,36085012500,2818,598,21.2000007629,19.7999992371,11.1000003815,58.2999992371,77875,0.1777345912,16.8791003473,0.0010645848,3,0,0,56.9051580699,35.1913477537,1.3311148087,5.4076539102,0,1.0234256969,0.1327204906,13.3203412516,5.7581683453,-0.40248301425615,-0.220322902456687,0.454478750037614,0.239590504269465,0.0673442810363937,0.283837872414582,0.99713065170978,-0.363296595291551,-0.262768299613823,1.26342648586358,-0.996128483119825,0.369284626869431,-0.217271694198382,-0.226507784551325,0.771295432183683,-0.578028832189031,1.2525174851178,0.176033212565773,15855.1015926268,-1.0086547309678,3751.0815309166
"3",3,2,7400,5,"I","Staten Island","SI14",5007400,5788237.74119,74,3902,"Grasmere-Arrochar-Ft. Wadsworth",36085007400,36085007400,4725,700,14.8000001907,11.3999996185,9.1000003815,55.5999984741,72866,0.2076252904,67.4291651814,0.002962963,14,0,0,56.549678695,35.1952545724,0,5.091448344,0,2.1218250947,0.1038267319,13.9906355228,10.2194924856,0.595539493163916,-0.0769624378279161,-0.0990808428876631,-0.40804295171022,-0.26386546763164,0.0599727263590739,0.791418421969437,-0.363296595291551,-0.262768299613823,1.24468007772948,-0.995912921114504,-0.485843769850008,-0.263037524343002,-0.226507784551325,2.2346647890692,-0.680597213447865,1.44714794970067,0.869793738660888,22757.3432451175,-0.77520365497746,0
"4",4,3,501,3,"I","Brooklyn","BK09",3000501,901506.992481,5.01,4004,"Brooklyn Heights-Cobble Hill",36047000501,36047000501,4661,322,8.6999998093,7.9000000954,5.3000001907,63.5,110625,0.0323372431,61.8481913406,0.0004290925,2,0,0,5.8984375,71.0546875,1.328125,12.34375,0,0.588420415,0.0437582014,6.1722104687,18.196369207,0.562045292600264,-0.608239453805126,-0.626692315711497,-0.677890200518821,-0.893164021698314,0.714985502529292,2.34212476710132,-0.363296595291551,-0.262768299613823,-1.42644209414764,0.982661429307136,0.367363928291503,0.786620170601297,-0.226507784551325,0.191749047789437,-0.893831220208705,-0.823054506097745,2.11024209363341,144137.210014666,3.3301670242265,6190.390625
"5",5,4,2000,3,"E","Brooklyn","BK32",3002000,1620770.16274,20,4012,"Sunset Park West",36047002000,36047002000,1321,219,16.6000003815,14.1000003815,4.6999998093,67.1999969482,71442,0.0581373625,309.611568764,0.0136260409,18,0,0,14.6084337349,71.5361445783,1.0542168675,7.9819277108,0,0,0.2087947563,9.6453856114,0,-1.18593329931532,-0.753005413185159,0.056607795206029,-0.199874986866799,-0.992527009460423,1.02176332591531,0.732936845776534,-0.363296595291551,-0.262768299613823,-0.967115461450942,1.00922622825074,0.191401178375219,0.155314338741627,-0.226507784551325,-0.592188385171217,-0.307976937268783,0.185436421910926,-0.719393744757023,22722.0490093612,-0.776397394305694,1392.6204819675
"6",6,5,4100,3,"I","Brooklyn","BK38",3004100,1744094.3952,41,4004,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",36047004100,36047004100,3587,276,8.3000001907,1.5,4.5,70.3000030518,108105,0.0625610283,543.469327709,0.009478673,34,0,0,5.054322154,70.0047236656,4.5347189419,8.7387812943,0,1.9695847487,0.0264898081,6.694618939,31.4826146829,-2.92606085196614e-05,-0.672892212363199,-0.661289754187407,-1.17132524435815,-1.02564795274638,1.27879411222675,2.23863209013074,-0.363296595291551,-0.262768299613823,-1.47095699966875,0.924728792285002,2.42732864248859,0.264857105376229,-0.226507784551325,2.03183887923689,-0.955131349628069,-0.671365005463212,4.1763265926112,57336.0140885024,0.394333478193064,16266.0368445953
"7",7,6,5201,3,"E","Brooklyn","BK31",3005201,1448244.16819,52.01,4013,"Bay Ridge",36047005201,36047005201,1716,550,32.0999984741,24.7999992371,7.5999999046,40.5,17129,0.0519472178,0,0,0,0,0,39.2026578073,44.1860465116,0.6644518272,7.6411960133,0,0.9243799765,0.0466847799,11.7385809172,17.7946002677,-0.979211280211531,-0.287786650517285,1.39725964948122,0.625086626522638,-0.51227285810963,-1.19201335089165,-1.49761782259785,-0.363296595291551,-0.262768299613823,0.329875010450592,-0.499838419412412,-0.0589898110650799,0.105998733137107,-0.226507784551325,0.639339358232519,-0.883442318491605,0.793228539992422,2.04776480618872,33033.5304309599,-0.427637302421924,1140.1993354752
"8",8,7,5202,3,"I","Brooklyn","BK31",3005202,1398134.48416,52.02,4013,"Bay Ridge",36047005202,36047005202,2439,122,5,3.5999999046,5,61.5999984741,68750,0.0501499541,19.9401977071,0.0004100041,1,0,0,33.9768339768,62.1621621622,0,1.6216216216,0,1.0665113445,0.0246385739,11.9005575452,21.2664470662,-0.600831483219026,-0.889338404057618,-0.946718910264699,-1.00941688036708,-0.942845515579369,0.557450688121059,0.62238038291748,-0.363296595291551,-0.262768299613823,0.0542882020990872,0.492008869927046,-0.485843769850008,-0.765240892604346,-0.226507784551325,0.828697335849774,-0.961702945147935,0.840260996800934,2.58765614465736,48634.1422194841,0.10001440719685,0
"9",9,8,5800,3,"E","Brooklyn","BK31",3005800,2080303.3141,58,4013,"Bay Ridge",36047005800,36047005800,3424,797,23.3999996185,23.2000007629,7.5999999046,58.4000015259,47118,0.0746209121,120.609621994,0.0026285047,9,0,0,30.9595654798,48.9438744719,0.6035003018,14.9668074834,0,0,0.1863704087,11.804805958,0,-0.0853348026690706,0.0593705530445425,0.644764744109546,0.501727985039619,-0.51227285810963,0.292129361548541,-0.266013898125265,-0.363296595291551,-0.262768299613823,-0.104829177666892,-0.237321262909276,-0.0981459979335959,1.16626688171875,-0.226507784551325,-0.592188385171217,-0.387579908207881,0.812458020254648,-0.719393744757023,45885.2606278984,0.00704035649925423,2066.3850333632
"10",10,9,6000,3,"I","Brooklyn","BK31",3006000,1639073.92632,60,4013,"Bay Ridge",36047006000,36047006000,2798,366,13.1000003815,8,11,56.7999992371,68438,0.0587939223,204.102729244,0.0042887777,12,0,0,15.4824233358,73.373223635,1.421091997,5.9087509349,0,0,0.2556604191,11.598303748,0,-0.412949951932291,-0.546397684749578,-0.246120080109218,-0.670180285429023,0.0507837304247325,0.159468381974086,0.609567003863979,-0.363296595291551,-0.262768299613823,-0.921025120012587,1.11058860920701,0.427087341007549,-0.14474570550693,-0.226507784551325,-0.592188385171217,-0.141611071895292,0.752496861705976,-0.719393744757023,47589.953017984,0.0646973167643896,3976.215407606
"11",11,10,6500,3,"I","Brooklyn","BK33",3006500,2685633.61509,65,4005,"Carroll Gardens-Columbia Street-Red Hook",36047006500,36047006500,5319,469,8.8000001907,7.3000001907,5.8000001907,72.9000015259,104172,0.0963342358,72.6636791719,0.0013160368,7,0,0,7.2538860104,73.6056080463,5.4251752515,8.6558975922,0,1.0909553908,0.0430864342,7.3529550842,11.3246903583,0.90640754214531,-0.401631725369544,-0.618042914856658,-0.724149727841645,-0.810361584531306,1.49436776914001,2.07710959071593,-0.363296595291551,-0.262768299613823,-1.35496174177032,1.12341061441174,2.99937131784626,0.252860980584211,-0.226507784551325,0.861263512037923,-0.896215890026231,-0.480206770494885,1.04165810750991,55214.0156179035,0.322562182554288,28856.5071627285
"12",12,11,6700,3,"I","Brooklyn","BK33",3006700,1680804.29592,67,4005,"Carroll Gardens-Columbia Street-Red Hook",36047006700,36047006700,3616,119,3.2999999523,0.8000000119,8.5,75.6999969482,156118,0.0602907993,232.207901722,0.0038716814,14,0,0,11.4564831261,62.56660746,1.8206039076,16.785079929,0,1.788116935,0.02272226,6.983704584,29.6582058218,0.0151477990218851,-0.893554888311405,-1.093758168115,-1.22529470055611,-0.36322845541031,1.72652377174479,4.21045506607865,-0.363296595291551,-0.262768299613823,-1.13333537940743,0.514324479155764,0.683739868159092,1.42943349482429,-0.226507784551325,1.79007396352274,-0.9685055635524,-0.587424450086153,3.89262094570337,59975.9837650718,0.483623855523535,6583.3037298816
"13",13,12,6900,3,"I","Brooklyn","BK38",3006900,1927677.55339,69,4004,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",36047006900,36047006900,3913,171,4.4000000954,0,5.4000000954,78.4000015259,116058,0.0691461943,376.014909383,0.0066445183,26,0,0,13.4941575575,66.2646061063,2.4123633622,7.8401809273,0,1.4026397069,0.0326550406,6.8490434734,20.2851323957,0.170581823512582,-0.820469161245757,-0.998615109210101,-1.2869740810341,-0.876603550047057,1.95038923408849,2.5652500504272,-0.363296595291551,-0.262768299613823,-1.02587745292098,0.718364662508234,1.06389514127927,0.134798699832525,-0.226507784551325,1.2765125354042,-0.933245726363369,-0.626525417591667,2.43505629746823,56590.2438971974,0.369109665065793,9439.5778362886
"14",14,13,7400,3,"E","Brooklyn","BK32",3007400,1516613.03139,74,4012,"Sunset Park West",36047007400,36047007400,5633,1696,30.2999992371,28.1000003815,10,59,40625,0.0544012245,147.055513335,0.0014202024,8,0,0,16.1210111894,58.0190634065,2.7766266059,22.0886862826,0,0.5992325566,0.0483707546,10.0733622487,11.0150564017,1.07073846366073,1.32291033442949,1.2415710938852,0.879514155442084,-0.114821143909284,0.341877031207803,-0.532671815414953,-0.363296595291551,-0.262768299613823,-0.887348824344422,0.263409913946833,1.29790338875209,2.19704789974993,-0.226507784551325,0.20615378684104,-0.877457368675354,0.309706157349945,0.993508318372801,103545.463393016,1.95725262883845,15640.7376710347
"15",15,14,7600,3,"E","Brooklyn","BK32",3007600,1510401.67828,76,4012,"Sunset Park West",36047007600,36047007600,4432,1705,38.5,36.2000007629,11.8000001907,55.2999992371,32616,0.054178422,184.575327767,0.0022563177,10,0,0,14.7967479675,71.1111111111,2.8184281843,8.4010840108,0,0.5917523742,0.048989899,9.8906512558,10.9222888418,0.442198856208447,1.33555978719086,1.95081932489552,1.50401790289787,0.183267661472796,0.0350988915335892,-0.861589612977423,-0.363296595291551,-0.262768299613823,-0.95718460269782,0.985774649471717,1.32475735843518,0.215980683930866,-0.226507784551325,0.196188131606707,-0.875259501671174,0.256653152184227,0.979082450819394,81803.7852782054,1.22189469654891,12491.2737128176
"16",16,15,7800,3,"E","Brooklyn","BK32",3007800,1509791.98953,78,4012,"Sunset Park West",36047007800,36047007800,5582,1360,24.5,22,12.6000003815,57.9000015259,39375,0.0541565523,332.369754358,0.0032246507,18,0,0,13.8076923077,67.2692307692,2.8846153846,13.0769230769,0,0.5923728766,0.0489302269,9.7098033392,10.9381570828,1.04404777258657,0.850664098005307,0.739907823634533,0.40920885687986,0.315751592537419,0.250672864735043,-0.584007468674173,-0.363296595291551,-0.262768299613823,-1.00934301855858,0.773795672636814,1.36727702248366,0.892735552778951,-0.226507784551325,0.197014811045764,-0.875471328410882,0.204141120470622,0.981550049872536,103071.553910569,1.94122382483977,16101.9230768372
"17",17,16,8000,3,"E","Brooklyn","BK32",3008000,1506326.48527,80,4012,"Sunset Park West",36047008000,36047008000,4252,928,21.8999996185,18.2000007629,9,61,49081,0.054032244,166.567207575,0.002116651,9,0,0,10.1147028154,70.7507820647,1.511991658,13.2429614181,0,0.5912760067,0.0489673332,9.5298132302,10.9430214831,0.347996417123176,0.243490365459925,0.515024226117297,0.116231862786447,-0.280426018243301,0.507703018461798,-0.185396388246987,-0.363296595291551,-0.262768299613823,-1.20409493145672,0.965893191492213,0.485482665637123,0.916767016273327,-0.226507784551325,0.195553479399584,-0.875339606776289,0.151878166660385,0.982306490966063,78693.7518271497,1.11670558668155,6428.988529816
"18",18,17,9800,3,"E","Brooklyn","BK34",3009800,1625498.65245,98,4012,"Sunset Park East",36047009800,36047009800,7614,3201,42.2000007629,43,11.6999998093,56.9000015259,29232,0.0583069744,617.421850134,0.0047281324,36,0,0,14.1537446387,60.5080831409,2.1115143517,19.6304849885,0,0.5919833285,0.0735440237,9.8281193615,10.1528733864,2.10748864048252,3.4381799350795,2.27084600192909,2.02829257034318,0.166707110877695,0.167759871108045,-1.00056549348078,-0.363296595291551,-0.262768299613823,-0.991093750975868,0.40074366972931,0.870625161618582,1.84126155405382,-0.226507784551325,0.196495826099382,-0.788096150933198,0.238496034986929,0.859434101061037,130584.721267924,2.87178795847297,16077.0702738438
"19",19,18,10100,3,"E","Brooklyn","BK32",3010100,3393635.74682,101,4012,"Sunset Park West",36047010100,36047010100,4120,930,22.6000003815,20.2999992371,10.6000003815,67.3000030518,44259,0.1217304193,115.008229485,0.0033980583,14,0,0,20.3712086917,63.829787234,0.9506564056,10.8193752829,0,1.0847440004,0.0489330606,8.7501257463,8.9110347807,0.278914628460644,0.24630135496245,0.575569867175023,0.278140116494783,-0.0154581561306148,1.03005513134576,-0.383428804259751,-0.363296595291551,-0.262768299613823,-0.663212228371509,0.584021484846117,0.124872362701866,0.565990675624516,-0.226507784551325,0.852988235855854,-0.875461269213496,-0.0745163345923768,0.666321344103251,33845.2789671776,-0.40018193665025,3916.704391072
